position is:  {'x': '13.30', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.32', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.34', 'y': '6.27', 'quality': 36}
position is:  {'x': '13.32', 'y': '6.30', 'quality': 35}
position is:  {'x': '13.33', 'y': '6.33', 'quality': 35}
position is:  {'x': '13.32', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.32', 'y': '6.31', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 38}
position is:  {'x': '13.18', 'y': '6.34', 'quality': 52}
position is:  {'x': '13.13', 'y': '6.32', 'quality': 40}
position is:  {'x': '13.19', 'y': '6.35', 'quality': 37}
position is:  {'x': '13.24', 'y': '6.36', 'quality': 34}
position is:  {'x': '13.24', 'y': '6.34', 'quality': 38}
position is:  {'x': '13.27', 'y': '6.32', 'quality': 39}
position is:  {'x': '13.25', 'y': '6.31', 'quality': 38}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 34}
position is:  {'x': '13.27', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.29', 'quality': 40}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 34}
position is:  {'x': '13.30', 'y': '6.40', 'quality': 35}
position is:  {'x': '13.32', 'y': '6.34', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.31', 'quality': 38}
position is:  {'x': '13.33', 'y': '6.35', 'quality': 34}
position is:  {'x': '13.34', 'y': '6.34', 'quality': 36}
position is:  {'x': '13.35', 'y': '6.18', 'quality': 50}
position is:  {'x': '13.29', 'y': '6.24', 'quality': 36}
position is:  {'x': '13.32', 'y': '6.27', 'quality': 35}
position is:  {'x': '13.23', 'y': '6.32', 'quality': 52}
position is:  {'x': '13.21', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.25', 'y': '6.38', 'quality': 35}
position is:  {'x': '13.27', 'y': '6.33', 'quality': 39}
position is:  {'x': '13.27', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.15', 'y': '6.37', 'quality': 52}
position is:  {'x': '13.06', 'y': '6.38', 'quality': 52}
position is:  {'x': '13.11', 'y': '6.39', 'quality': 35}
position is:  {'x': '13.18', 'y': '6.37', 'quality': 31}
position is:  {'x': '13.21', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.25', 'y': '6.37', 'quality': 35}
position is:  {'x': '13.27', 'y': '6.35', 'quality': 37}
position is:  {'x': '13.31', 'y': '6.36', 'quality': 33}
position is:  {'x': '13.42', 'y': '6.33', 'quality': 30}
position is:  {'x': '13.46', 'y': '6.32', 'quality': 32}
position is:  {'x': '13.41', 'y': '6.34', 'quality': 34}
position is:  {'x': '13.42', 'y': '6.33', 'quality': 33}
position is:  {'x': '13.53', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.60', 'y': '6.35', 'quality': 32}
position is:  {'x': '13.51', 'y': '6.35', 'quality': 34}
position is:  {'x': '13.45', 'y': '6.36', 'quality': 33}
position is:  {'x': '13.47', 'y': '6.37', 'quality': 30}
position is:  {'x': '13.51', 'y': '6.38', 'quality': 24}
position is:  {'x': '13.59', 'y': '6.40', 'quality': 16}
position is:  {'x': '13.40', 'y': '6.40', 'quality': 35}
position is:  {'x': '13.31', 'y': '6.36', 'quality': 37}
position is:  {'x': '13.25', 'y': '6.35', 'quality': 40}
position is:  {'x': '13.36', 'y': '6.34', 'quality': 24}
position is:  {'x': '13.40', 'y': '6.34', 'quality': 33}
position is:  {'x': '13.44', 'y': '6.38', 'quality': 34}
position is:  {'x': '13.40', 'y': '6.40', 'quality': 34}
position is:  {'x': '13.37', 'y': '6.41', 'quality': 34}
position is:  {'x': '13.31', 'y': '6.42', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.41', 'quality': 35}
position is:  {'x': '13.30', 'y': '6.39', 'quality': 35}
position is:  {'x': '13.25', 'y': '6.37', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.36', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 38}
position is:  {'x': '13.27', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.31', 'y': '6.38', 'quality': 34}
position is:  {'x': '13.33', 'y': '6.39', 'quality': 35}
position is:  {'x': '13.31', 'y': '6.36', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.36', 'quality': 36}
position is:  {'x': '13.32', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.31', 'y': '6.35', 'quality': 35}
position is:  {'x': '13.34', 'y': '6.35', 'quality': 34}
position is:  {'x': '13.33', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.33', 'quality': 34}
position is:  {'x': '13.32', 'y': '6.30', 'quality': 39}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 41}
position is:  {'x': '13.23', 'y': '6.30', 'quality': 39}
position is:  {'x': '13.25', 'y': '6.27', 'quality': 39}
position is:  {'x': '13.25', 'y': '6.17', 'quality': 86}
position is:  {'x': '13.22', 'y': '6.22', 'quality': 42}
position is:  {'x': '13.16', 'y': '6.25', 'quality': 39}
position is:  {'x': '13.16', 'y': '6.24', 'quality': 42}
position is:  {'x': '13.15', 'y': '6.25', 'quality': 38}
position is:  {'x': '13.12', 'y': '6.22', 'quality': 41}
position is:  {'x': '13.13', 'y': '6.23', 'quality': 37}
position is:  {'x': '13.11', 'y': '6.24', 'quality': 39}
position is:  {'x': '13.11', 'y': '6.24', 'quality': 36}
position is:  {'x': '13.15', 'y': '6.26', 'quality': 37}
position is:  {'x': '13.21', 'y': '6.27', 'quality': 33}
position is:  {'x': '13.12', 'y': '6.29', 'quality': 51}
position is:  {'x': '12.98', 'y': '6.33', 'quality': 50}
position is:  {'x': '13.11', 'y': '6.34', 'quality': 37}
position is:  {'x': '13.21', 'y': '6.20', 'quality': 38}
position is:  {'x': '13.25', 'y': '6.25', 'quality': 37}
position is:  {'x': '13.24', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.13', 'y': '6.31', 'quality': 49}
position is:  {'x': '13.05', 'y': '6.32', 'quality': 49}
position is:  {'x': '13.08', 'y': '6.33', 'quality': 41}
position is:  {'x': '13.12', 'y': '6.34', 'quality': 33}
position is:  {'x': '13.24', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.35', 'quality': 34}
position is:  {'x': '13.31', 'y': '6.34', 'quality': 34}
position is:  {'x': '13.36', 'y': '6.34', 'quality': 31}
position is:  {'x': '13.36', 'y': '6.28', 'quality': 72}
