
position is:  {'x': '13.28', 'y': '6.33', 'quality': 34}
position is:  {'x': '13.27', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.45', 'y': '6.36', 'quality': 33}
position is:  {'x': '13.28', 'y': '6.36', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 41}
position is:  {'x': '13.11', 'y': '6.34', 'quality': 37}
position is:  {'x': '13.21', 'y': '6.33', 'quality': 40}
position is:  {'x': '13.10', 'y': '6.34', 'quality': 51}
position is:  {'x': '13.23', 'y': '6.24', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.23', 'y': '6.33', 'quality': 52}
position is:  {'x': '13.28', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.26', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.35', 'quality': 35}
position is:  {'x': '13.33', 'y': '6.30', 'quality': 37}
position is:  {'x': '13.31', 'y': '6.28', 'quality': 36}
position is:  {'x': '13.27', 'y': '6.40', 'quality': 35}
position is:  {'x': '13.28', 'y': '6.30', 'quality': 35}
position is:  {'x': '13.27', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.26', 'y': '6.32', 'quality': 38}
position is:  {'x': '13.28', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.37', 'quality': 35}
position is:  {'x': '13.28', 'y': '6.36', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.23', 'quality': 33}
position is:  {'x': '13.27', 'y': '6.44', 'quality': 33}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.33', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.32', 'y': '6.30', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.28', 'quality': 38}
position is:  {'x': '13.30', 'y': '6.28', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.26', 'quality': 36}
position is:  {'x': '13.18', 'y': '6.33', 'quality': 50}
position is:  {'x': '13.31', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.31', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.31', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.34', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.36', 'quality': 37}
position is:  {'x': '13.31', 'y': '6.38', 'quality': 33}
position is:  {'x': '13.29', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 34}
position is:  {'x': '13.30', 'y': '6.38', 'quality': 36}
position is:  {'x': '13.22', 'y': '6.34', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.28', 'y': '6.41', 'quality': 33}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.36', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.19', 'y': '6.33', 'quality': 83}
position is:  {'x': '13.30', 'y': '6.27', 'quality': 33}
position is:  {'x': '13.29', 'y': '6.34', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.28', 'quality': 37}
position is:  {'x': '13.31', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.33', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.30', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.31', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 35}
position is:  {'x': '13.33', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.27', 'y': '6.28', 'quality': 40}
position is:  {'x': '13.29', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.38', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.24', 'quality': 49}
position is:  {'x': '13.27', 'y': '6.32', 'quality': 34}
position is:  {'x': '13.30', 'y': '6.31', 'quality': 32}
position is:  {'x': '13.29', 'y': '6.34', 'quality': 34}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.30', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.31', 'y': '6.32', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.30', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.30', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 35}
position is:  {'x': '13.28', 'y': '6.27', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.34', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.30', 'quality': 40}
position is:  {'x': '13.29', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.30', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.33', 'quality': 34}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.30', 'quality': 38}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.32', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.30', 'y': '6.28', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 35}
position is:  {'x': '13.27', 'y': '6.22', 'quality': 80}
position is:  {'x': '13.28', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.26', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.30', 'y': '6.30', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 35}
position is:  {'x': '13.30', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 35}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.27', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.31', 'quality': 35}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.31', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.30', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.30', 'quality': 38}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 35}
position is:  {'x': '13.30', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.32', 'y': '6.31', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.27', 'y': '6.33', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.30', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.27', 'y': '6.26', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.26', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.28', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.27', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.35', 'quality': 37}
position is:  {'x': '13.26', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.26', 'y': '6.29', 'quality': 36}
position is:  {'x': '13.27', 'y': '6.30', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.36', 'quality': 35}
position is:  {'x': '13.30', 'y': '6.30', 'quality': 37}
position is:  {'x': '13.26', 'y': '6.33', 'quality': 35}
position is:  {'x': '13.26', 'y': '6.30', 'quality': 38}
position is:  {'x': '13.26', 'y': '6.31', 'quality': 35}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.35', 'quality': 37}
position is:  {'x': '13.14', 'y': '6.32', 'quality': 51}
position is:  {'x': '13.28', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.15', 'quality': 53}
position is:  {'x': '13.28', 'y': '6.29', 'quality': 38}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 38}
position is:  {'x': '13.26', 'y': '6.35', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.32', 'quality': 35}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 36}
position is:  {'x': '13.26', 'y': '6.30', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.29', 'quality': 39}
position is:  {'x': '13.28', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.33', 'quality': 33}
position is:  {'x': '13.26', 'y': '6.28', 'quality': 38}
position is:  {'x': '13.28', 'y': '6.17', 'quality': 79}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.30', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.30', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.30', 'quality': 38}
position is:  {'x': '13.31', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.27', 'quality': 36}
position is:  {'x': '13.31', 'y': '6.30', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.28', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.33', 'quality': 35}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.25', 'quality': 34}
position is:  {'x': '13.29', 'y': '6.34', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.35', 'quality': 36}
position is:  {'x': '13.26', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.29', 'y': '6.28', 'quality': 49}
position is:  {'x': '13.31', 'y': '6.34', 'quality': 35}
position is:  {'x': '13.32', 'y': '6.31', 'quality': 35}
position is:  {'x': '13.29', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.17', 'quality': 40}
position is:  {'x': '13.30', 'y': '6.30', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.34', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.31', 'y': '6.22', 'quality': 37}
position is:  {'x': '13.27', 'y': '6.33', 'quality': 39}
position is:  {'x': '13.28', 'y': '6.34', 'quality': 34}
position is:  {'x': '13.32', 'y': '6.25', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.30', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.28', 'y': '6.31', 'quality': 36}
position is:  {'x': '13.31', 'y': '6.33', 'quality': 35}
position is:  {'x': '13.22', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.33', 'quality': 37}
position is:  {'x': '13.28', 'y': '6.29', 'quality': 37}
position is:  {'x': '13.32', 'y': '6.31', 'quality': 34}
position is:  {'x': '13.19', 'y': '6.35', 'quality': 38}
position is:  {'x': '13.24', 'y': '6.33', 'quality': 34}
position is:  {'x': '13.30', 'y': '6.33', 'quality': 35}
position is:  {'x': '13.31', 'y': '6.33', 'quality': 34}
position is:  {'x': '13.31', 'y': '6.32', 'quality': 36}
position is:  {'x': '13.31', 'y': '6.31', 'quality': 37}
position is:  {'x': '13.29', 'y': '6.20', 'quality': 37}
position is:  {'x': '13.31', 'y': '6.35', 'quality': 33}
position is:  {'x': '13.28', 'y': '6.31', 'quality': 36}
